,AIS,ExamStage_weeks,plegia,n,mean_TMS,sd_TMS,
1,A,2,para,591,52.759,8.546,52.759 (8.546); n=591
3,A,4,para,901,52.656,8.347,52.656 (8.347); n=901
5,A,12,para,796,52.511,8.427,52.511 (8.427); n=796
7,A,26,para,571,52.529,8.18,52.529 (8.18); n=571
9,A,52,para,514,52.694,8.315,52.694 (8.315); n=514
11,B,2,para,159,56.579,12.046,56.579 (12.046); n=159
13,B,4,para,218,57.76,12.932,57.76 (12.932); n=218
15,B,12,para,175,56.823,10.8,56.823 (10.8); n=175
17,B,26,para,117,57.043,10.594,57.043 (10.594); n=117
19,B,52,para,103,60.427,12.235,60.427 (12.235); n=103
21,C,2,para,184,61.831,7.336,61.831 (7.336); n=184
23,C,4,para,303,62.515,7.712,62.515 (7.712); n=303
25,C,12,para,246,63.065,7.945,63.065 (7.945); n=246
27,C,26,para,172,63.314,8.466,63.314 (8.466); n=172
29,C,52,para,124,65.492,9.063,65.492 (9.063); n=124
31,D,2,para,231,87.765,8.75,87.765 (8.75); n=231
33,D,4,para,437,87.782,8.652,87.782 (8.652); n=437
35,D,12,para,518,89.198,8.173,89.198 (8.173); n=518
37,D,26,para,359,91.228,8.044,91.228 (8.044); n=359
39,D,52,para,418,92.114,7.823,92.114 (7.823); n=418
2,A,2,tetra,415,17.964,16.674,17.964 (16.674); n=415
4,A,4,tetra,611,19.155,17.314,19.155 (17.314); n=611
6,A,12,tetra,549,20.677,16.928,20.677 (16.928); n=549
8,A,26,tetra,399,22.278,17.691,22.278 (17.691); n=399
10,A,52,tetra,277,25.251,17.956,25.251 (17.956); n=277
12,B,2,tetra,151,18.56,14.128,18.56 (14.128); n=151
14,B,4,tetra,238,19.662,14.693,19.662 (14.693); n=238
16,B,12,tetra,206,21.289,13.509,21.289 (13.509); n=206
18,B,26,tetra,158,22.639,14.256,22.639 (14.256); n=158
20,B,52,tetra,129,24.523,13.136,24.523 (13.136); n=129
22,C,2,tetra,315,29.885,13.346,29.885 (13.346); n=315
24,C,4,tetra,425,31.286,13.501,31.286 (13.501); n=425
26,C,12,tetra,299,34.068,14.095,34.068 (14.095); n=299
28,C,26,tetra,179,34.943,14.129,34.943 (14.129); n=179
30,C,52,tetra,106,34.075,13.501,34.075 (13.501); n=106
32,D,2,tetra,534,70.612,15.619,70.612 (15.619); n=534
34,D,4,tetra,917,75.262,15.219,75.262 (15.219); n=917
36,D,12,tetra,914,78.228,14.437,78.228 (14.437); n=914
38,D,26,tetra,682,81.793,14.246,81.793 (14.246); n=682
40,D,52,tetra,663,85.417,13.145,85.417 (13.145); n=663