,AIS,Time,Plegia,n,mean_LEMS,sd_LEMS,
1,AIS A,0,para,128,0.073,0.726,0.073 (0.726); n=128
3,AIS A,1,para,132,0,0,0 (0); n=132
5,AIS A,4,para,125,0.271,2.766,0.271 (2.766); n=125
7,AIS A,8,para,126,0.423,3.713,0.423 (3.713); n=126
9,AIS A,16,para,121,0.417,3.072,0.417 (3.072); n=121
11,AIS A,26,para,124,0.624,4.409,0.624 (4.409); n=124
13,AIS A,52,para,123,0.718,4.759,0.718 (4.759); n=123
15,AIS B,0,para,8,0,0,0 (0); n=8
17,AIS B,1,para,8,0,0,0 (0); n=8
19,AIS B,4,para,8,4.143,5.956,4.143 (5.956); n=8
21,AIS B,8,para,8,10.571,10.814,10.571 (10.814); n=8
23,AIS B,16,para,6,24.167,7.36,24.167 (7.36); n=6
25,AIS B,26,para,7,25.857,10.961,25.857 (10.961); n=7
27,AIS B,52,para,7,28,14.855,28 (14.855); n=7
29,AIS C,0,para,13,2.273,5.179,2.273 (5.179); n=13
31,AIS C,1,para,13,4.154,7.437,4.154 (7.437); n=13
33,AIS C,4,para,11,17.5,18.495,17.5 (18.495); n=11
35,AIS C,8,para,11,22.8,19.826,22.8 (19.826); n=11
37,AIS C,16,para,10,26.6,20.592,26.6 (20.592); n=10
39,AIS C,26,para,12,27.273,21.868,27.273 (21.868); n=12
41,AIS C,52,para,12,25.75,22.503,25.75 (22.503); n=12
43,AIS D,0,para,3,13.667,12.662,13.667 (12.662); n=3
45,AIS D,1,para,3,22.667,8.505,22.667 (8.505); n=3
47,AIS D,4,para,3,41,7.81,41 (7.81); n=3
49,AIS D,8,para,3,45.667,4.933,45.667 (4.933); n=3
51,AIS D,16,para,3,48,1,48 (1); n=3
53,AIS D,26,para,3,49,1.732,49 (1.732); n=3
55,AIS D,52,para,3,47.667,3.215,47.667 (3.215); n=3
2,AIS A,0,tetra,297,0,0,0 (0); n=297
4,AIS A,1,tetra,314,0.095,0.802,0.095 (0.802); n=314
6,AIS A,4,tetra,290,0.638,3.502,0.638 (3.502); n=290
8,AIS A,8,tetra,281,1.062,4.664,1.062 (4.664); n=281
10,AIS A,16,tetra,267,1.961,7.044,1.961 (7.044); n=267
12,AIS A,26,tetra,277,2.073,7.187,2.073 (7.187); n=277
14,AIS A,52,tetra,263,2.619,8.276,2.619 (8.276); n=263
16,AIS B,0,tetra,69,0.544,2.384,0.544 (2.384); n=69
18,AIS B,1,tetra,69,0,0,0 (0); n=69
20,AIS B,4,tetra,63,5.621,11.242,5.621 (11.242); n=63
22,AIS B,8,tetra,60,9.182,14.766,9.182 (14.766); n=60
24,AIS B,16,tetra,60,13.482,17.17,13.482 (17.17); n=60
26,AIS B,26,tetra,62,16.018,18.023,16.018 (18.023); n=62
28,AIS B,52,tetra,56,17.5,19.307,17.5 (19.307); n=56
30,AIS C,0,tetra,130,6.404,11.431,6.404 (11.431); n=130
32,AIS C,1,tetra,136,8.425,8.663,8.425 (8.663); n=136
34,AIS C,4,tetra,127,19.235,14.519,19.235 (14.519); n=127
36,AIS C,8,tetra,121,27.259,16.22,27.259 (16.22); n=121
38,AIS C,16,tetra,113,32.782,16.183,32.782 (16.183); n=113
40,AIS C,26,tetra,121,35.953,16.481,35.953 (16.481); n=121
42,AIS C,52,tetra,110,37.922,15.053,37.922 (15.053); n=110
44,AIS D,0,tetra,28,17.952,14.179,17.952 (14.179); n=28
46,AIS D,1,tetra,28,27.8,7.703,27.8 (7.703); n=28
48,AIS D,4,tetra,24,39.435,7.372,39.435 (7.372); n=24
50,AIS D,8,tetra,26,43.56,7.583,43.56 (7.583); n=26
52,AIS D,16,tetra,26,45.333,4.705,45.333 (4.705); n=26
54,AIS D,26,tetra,26,45.769,4.91,45.769 (4.91); n=26
56,AIS D,52,tetra,25,46.348,5.322,46.348 (5.322); n=25