,AIS,Time,Plegia,n,mean_TLT,sd_TLT,
1,AIS A,0,para,128,,,
3,AIS A,1,para,132,50.267,10.223,50.267 (10.223); n=132
5,AIS A,4,para,125,52.352,11.029,52.352 (11.029); n=125
7,AIS A,8,para,126,53.114,11.249,53.114 (11.249); n=126
9,AIS A,16,para,121,53.842,11.965,53.842 (11.965); n=121
11,AIS A,26,para,124,54.729,12.193,54.729 (12.193); n=124
13,AIS A,52,para,123,55.068,13.57,55.068 (13.57); n=123
15,AIS B,0,para,8,,,
17,AIS B,1,para,8,68.625,19.878,68.625 (19.878); n=8
19,AIS B,4,para,8,72.429,17.803,72.429 (17.803); n=8
21,AIS B,8,para,8,85.429,18.831,85.429 (18.831); n=8
23,AIS B,16,para,6,92,16.923,92 (16.923); n=6
25,AIS B,26,para,7,95.143,13.496,95.143 (13.496); n=7
27,AIS B,52,para,7,98.429,11.717,98.429 (11.717); n=7
29,AIS C,0,para,13,,,
31,AIS C,1,para,13,76.692,8.42,76.692 (8.42); n=13
33,AIS C,4,para,11,86.1,21.377,86.1 (21.377); n=11
35,AIS C,8,para,11,90.3,20.26,90.3 (20.26); n=11
37,AIS C,16,para,10,91.8,19.263,91.8 (19.263); n=10
39,AIS C,26,para,12,92.7,19.316,92.7 (19.316); n=12
41,AIS C,52,para,12,93.5,15.205,93.5 (15.205); n=12
43,AIS D,0,para,3,,,
45,AIS D,1,para,3,93.333,16.289,93.333 (16.289); n=3
47,AIS D,4,para,3,111.333,0.577,111.333 (0.577); n=3
49,AIS D,8,para,3,111.333,1.155,111.333 (1.155); n=3
51,AIS D,16,para,3,112,0,112 (0); n=3
53,AIS D,26,para,3,111.333,1.155,111.333 (1.155); n=3
55,AIS D,52,para,3,111,1.732,111 (1.732); n=3
2,AIS A,0,tetra,297,,,
4,AIS A,1,tetra,314,19.895,9.646,19.895 (9.646); n=314
6,AIS A,4,tetra,290,25.931,17.177,25.931 (17.177); n=290
8,AIS A,8,tetra,281,29.37,19.322,29.37 (19.322); n=281
10,AIS A,16,tetra,267,32.408,22.867,32.408 (22.867); n=267
12,AIS A,26,tetra,277,33.827,23.141,33.827 (23.141); n=277
14,AIS A,52,tetra,263,35.492,24.46,35.492 (24.46); n=263
16,AIS B,0,tetra,69,,,
18,AIS B,1,tetra,69,46.58,22.112,46.58 (22.112); n=69
20,AIS B,4,tetra,63,66.167,24.877,66.167 (24.877); n=63
22,AIS B,8,tetra,60,70.614,25.174,70.614 (25.174); n=60
24,AIS B,16,tetra,60,74.879,28.215,74.879 (28.215); n=60
26,AIS B,26,tetra,62,73.621,28.267,73.621 (28.267); n=62
28,AIS B,52,tetra,56,74.944,26.714,74.944 (26.714); n=56
30,AIS C,0,tetra,130,,,
32,AIS C,1,tetra,136,60.711,29.175,60.711 (29.175); n=136
34,AIS C,4,tetra,127,78.279,27.08,78.279 (27.08); n=127
36,AIS C,8,tetra,121,84.897,26.597,84.897 (26.597); n=121
38,AIS C,16,tetra,113,86.406,25.75,86.406 (25.75); n=113
40,AIS C,26,tetra,121,88.464,24.564,88.464 (24.564); n=121
42,AIS C,52,tetra,110,88.896,26.077,88.896 (26.077); n=110
44,AIS D,0,tetra,28,,,
46,AIS D,1,tetra,28,84.036,22.622,84.036 (22.622); n=28
48,AIS D,4,tetra,24,94.542,16.577,94.542 (16.577); n=24
50,AIS D,8,tetra,26,96.577,15.867,96.577 (15.867); n=26
52,AIS D,16,tetra,26,95.773,14.534,95.773 (14.534); n=26
54,AIS D,26,tetra,26,98.962,12.565,98.962 (12.565); n=26
56,AIS D,52,tetra,25,99.957,13.736,99.957 (13.736); n=25