,AIS,Time,Plegia,n,mean_TMS,sd_TMS,
1,AIS A,0,para,128,41.852,16.001,41.852 (16.001); n=128
3,AIS A,1,para,132,45.455,9.601,45.455 (9.601); n=132
5,AIS A,4,para,125,46.918,8.903,46.918 (8.903); n=125
7,AIS A,8,para,126,48.252,7.595,48.252 (7.595); n=126
9,AIS A,16,para,121,48.808,6.626,48.808 (6.626); n=121
11,AIS A,26,para,124,49.839,6.173,49.839 (6.173); n=124
13,AIS A,52,para,123,49.797,6.576,49.797 (6.576); n=123
15,AIS B,0,para,8,49.75,0.707,49.75 (0.707); n=8
17,AIS B,1,para,8,48.25,3.059,48.25 (3.059); n=8
19,AIS B,4,para,8,49.286,15.734,49.286 (15.734); n=8
21,AIS B,8,para,8,60.571,10.814,60.571 (10.814); n=8
23,AIS B,16,para,6,74.167,7.36,74.167 (7.36); n=6
25,AIS B,26,para,7,75.857,10.961,75.857 (10.961); n=7
27,AIS B,52,para,7,78,14.855,78 (14.855); n=7
29,AIS C,0,para,13,48.846,15.566,48.846 (15.566); n=13
31,AIS C,1,para,13,50.231,11.359,50.231 (11.359); n=13
33,AIS C,4,para,11,65.2,18.902,65.2 (18.902); n=11
35,AIS C,8,para,11,71.2,21.259,71.2 (21.259); n=11
37,AIS C,16,para,10,73.9,25.071,73.9 (25.071); n=10
39,AIS C,26,para,12,77,22.213,77 (22.213); n=12
41,AIS C,52,para,12,75.25,23.105,75.25 (23.105); n=12
43,AIS D,0,para,3,51.667,22.546,51.667 (22.546); n=3
45,AIS D,1,para,3,64.667,13.204,64.667 (13.204); n=3
47,AIS D,4,para,3,89,6.557,89 (6.557); n=3
49,AIS D,8,para,3,94.667,4.509,94.667 (4.509); n=3
51,AIS D,16,para,3,97,2,97 (2); n=3
53,AIS D,26,para,3,98.333,1.528,98.333 (1.528); n=3
55,AIS D,52,para,3,97,3,97 (3); n=3
2,AIS A,0,tetra,297,10.997,11.29,10.997 (11.29); n=297
4,AIS A,1,tetra,314,12.169,10.921,12.169 (10.921); n=314
6,AIS A,4,tetra,290,14.493,12.587,14.493 (12.587); n=290
8,AIS A,8,tetra,281,16.908,14.073,16.908 (14.073); n=281
10,AIS A,16,tetra,267,19.835,16.236,19.835 (16.236); n=267
12,AIS A,26,tetra,277,21.86,16.432,21.86 (16.432); n=277
14,AIS A,52,tetra,263,24.619,17.32,24.619 (17.32); n=263
16,AIS B,0,tetra,69,15.261,13.485,15.261 (13.485); n=69
18,AIS B,1,tetra,69,16.29,11.762,16.29 (11.762); n=69
20,AIS B,4,tetra,63,24.066,19.574,24.066 (19.574); n=63
22,AIS B,8,tetra,60,31.964,22.573,31.964 (22.573); n=60
24,AIS B,16,tetra,60,39.897,25.551,39.897 (25.551); n=60
26,AIS B,26,tetra,62,43.772,27.432,43.772 (27.432); n=62
28,AIS B,52,tetra,56,48.093,28.495,48.093 (28.495); n=56
30,AIS C,0,tetra,130,21.769,18.373,21.769 (18.373); n=130
32,AIS C,1,tetra,136,23.485,13.401,23.485 (13.401); n=136
34,AIS C,4,tetra,127,40.919,22.116,40.919 (22.116); n=127
36,AIS C,8,tetra,121,55.282,24.201,55.282 (24.201); n=121
38,AIS C,16,tetra,113,66.179,24.601,66.179 (24.601); n=113
40,AIS C,26,tetra,121,72.055,25.07,72.055 (25.07); n=121
42,AIS C,52,tetra,110,74.611,25.371,74.611 (25.371); n=110
44,AIS D,0,tetra,28,42.333,18.47,42.333 (18.47); n=28
46,AIS D,1,tetra,28,58.25,10.298,58.25 (10.298); n=28
48,AIS D,4,tetra,24,76.875,13.129,76.875 (13.129); n=24
50,AIS D,8,tetra,26,85.269,11.323,85.269 (11.323); n=26
52,AIS D,16,tetra,26,87.609,10.188,87.609 (10.188); n=26
54,AIS D,26,tetra,26,91.192,8.727,91.192 (8.727); n=26
56,AIS D,52,tetra,25,93.391,7.838,93.391 (7.838); n=25