,AIS,Time,Plegia,n,mean_TSS,sd_TSS,
1,AIS A,0,para,,,,
3,AIS A,1,para,132,75.45,15.436,75.45 (15.436); n=132
5,AIS A,4,para,125,78.566,16.573,78.566 (16.573); n=125
7,AIS A,8,para,126,79.821,17.013,79.821 (17.013); n=126
9,AIS A,16,para,121,80.983,18.001,80.983 (18.001); n=121
11,AIS A,26,para,124,82.28,18.162,82.28 (18.162); n=124
13,AIS A,52,para,123,82.898,20.22,82.898 (20.22); n=123
15,AIS B,0,para,,,,
17,AIS B,1,para,8,104.75,29.918,104.75 (29.918); n=8
19,AIS B,4,para,8,108.714,26.644,108.714 (26.644); n=8
21,AIS B,8,para,8,130.714,27.171,130.714 (27.171); n=8
23,AIS B,16,para,6,138.167,25.294,138.167 (25.294); n=6
25,AIS B,26,para,7,143.143,20.506,143.143 (20.506); n=7
27,AIS B,52,para,7,149.286,17.433,149.286 (17.433); n=7
29,AIS C,0,para,,,,
31,AIS C,1,para,13,115.385,12.031,115.385 (12.031); n=13
33,AIS C,4,para,11,128.8,31.545,128.8 (31.545); n=11
35,AIS C,8,para,11,135.5,30.376,135.5 (30.376); n=11
37,AIS C,16,para,10,137.3,28.945,137.3 (28.945); n=10
39,AIS C,26,para,12,138.8,29.123,138.8 (29.123); n=12
41,AIS C,52,para,12,139.5,22.841,139.5 (22.841); n=12
43,AIS D,0,para,,,,
45,AIS D,1,para,3,142.333,22.898,142.333 (22.898); n=3
47,AIS D,4,para,3,167.333,0.577,167.333 (0.577); n=3
49,AIS D,8,para,3,167.333,1.155,167.333 (1.155); n=3
51,AIS D,16,para,3,168,0,168 (0); n=3
53,AIS D,26,para,3,167.333,1.155,167.333 (1.155); n=3
55,AIS D,52,para,3,167,1.732,167 (1.732); n=3
2,AIS A,0,tetra,,,,
4,AIS A,1,tetra,314,29.812,14.539,29.812 (14.539); n=314
6,AIS A,4,tetra,290,39.069,25.944,39.069 (25.944); n=290
8,AIS A,8,tetra,281,44.074,29.189,44.074 (29.189); n=281
10,AIS A,16,tetra,267,48.408,34.214,48.408 (34.214); n=267
12,AIS A,26,tetra,277,50.658,34.649,50.658 (34.649); n=277
14,AIS A,52,tetra,263,53.167,36.658,53.167 (36.658); n=263
16,AIS B,0,tetra,,,,
18,AIS B,1,tetra,69,69.638,33.132,69.638 (33.132); n=69
20,AIS B,4,tetra,63,99.6,37.97,99.6 (37.97); n=63
22,AIS B,8,tetra,60,105.912,37.85,105.912 (37.85); n=60
24,AIS B,16,tetra,60,112.466,42.496,112.466 (42.496); n=60
26,AIS B,26,tetra,62,110.5,42.386,110.5 (42.386); n=62
28,AIS B,52,tetra,56,112.87,40.156,112.87 (40.156); n=56
30,AIS C,0,tetra,,,,
32,AIS C,1,tetra,136,91.311,43.893,91.311 (43.893); n=136
34,AIS C,4,tetra,127,117.352,40.661,117.352 (40.661); n=127
36,AIS C,8,tetra,121,127.41,39.859,127.41 (39.859); n=121
38,AIS C,16,tetra,113,129.84,38.721,129.84 (38.721); n=113
40,AIS C,26,tetra,121,133.2,36.917,133.2 (36.917); n=121
42,AIS C,52,tetra,110,133.698,39.306,133.698 (39.306); n=110
44,AIS D,0,tetra,,,,
46,AIS D,1,tetra,28,126.286,34.657,126.286 (34.657); n=28
48,AIS D,4,tetra,24,142.333,24.343,142.333 (24.343); n=24
50,AIS D,8,tetra,26,145.731,23.521,145.731 (23.521); n=26
52,AIS D,16,tetra,26,144.182,21.551,144.182 (21.551); n=26
54,AIS D,26,tetra,26,148.692,19.091,148.692 (19.091); n=26
56,AIS D,52,tetra,25,151.348,20.239,151.348 (20.239); n=25